R0, 0      , #  GPCR_[Adrenalin]_ppi+_Adrenalin_[GPCR]
R1, 0      , #  GPCR_[Adrenalin]_ppi-_Adrenalin_[GPCR]
R2, 0      , #  G_[alpha]_ppi+_AC_[G]
R3, 0      , #  G_[alpha]_ppi-_AC_[G]
R4, 0      , #  G_ap+_G_[alpha(GDP)]
S0, 1      , #  AC_[G]--0
S1, 0      , #  AC_[G]--G_[alpha]
S2, 1      , #  Adrenalin_[GPCR]--0
S3, 0      , #  Adrenalin_[GPCR]--GPCR_[Adrenalin]
S4, 1      , #  GPCR_[Adrenalin]--0
S5, 1      , #  G_[alpha(GDP)]-{0}
S6, 0      , #  G_[alpha(GDP)]-{p}
S7, 1      , #  G_[alpha]--0
